,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
0,Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,82.53
1,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,40.24
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,35.52
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,32.77
4,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,31.37
5,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,30.26
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,29.8
7,Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,28.92
8,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,28.32
9,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,28.31
10,Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,24.67
11,Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,23.21
12,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,23.1
13,Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,22.7
14,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,21.81
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,21.79
16,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,21.04
17,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,20.81
18,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,20.61
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,20.15
20,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,18.25
21,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,18.14
22,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,17.28
23,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,16.27
24,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,16.15
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,15.85
26,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,15.29
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,15.14
28,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,14.98
29,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,14.73
30,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,14.64
31,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,14.63
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,14.61
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,14.6
34,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,13.79
35,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,13.67
36,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,13.47
37,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,13.32
38,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,13.1
